,Compound Score,Negative Score,Neutral Score,News Outlet,Positive Score,Tweet Text,Tweet Time,Tweets Ago
85,0.0,0.0,1.0,BBC,0.0,"RT @bbcweather: London's sunset last night, photographed by Funda Cizgenakad. Jo https://t.co/gijPHaWMpa",Tue Jul 10 08:56:04 +0000 2018,86
86,0.4939,0.0,0.856,BBC,0.144,"RT @BBCSport: We have some exciting news...

@andy_murray will be joining the BBC commentary team this week at @Wimbledon 

👉 https://t.co/…",Tue Jul 10 08:55:48 +0000 2018,87
87,0.0,0.0,1.0,BBC,0.0,"Sue has looked after lots of orphaned wombats before, but Stacy is a real handful! 😳

https://t.co/JCFTLP1Xjg",Tue Jul 10 08:05:02 +0000 2018,88
88,0.5719,0.0,0.829,BBC,0.171,"Today, @sophieraworth presents live coverage of events to celebrate 100 years of aviation and endeavour in the Roya… https://t.co/l0Of2zTYaH",Tue Jul 10 07:29:03 +0000 2018,89
89,0.6369,0.0,0.833,BBC,0.167,"The greatest ice skater of all time, John Curry transformed a dated sport into an art form and made history by beco… https://t.co/rKqQzp8Gv5",Mon Jul 09 20:02:05 +0000 2018,90
90,0.5994,0.0,0.818,BBC,0.182,"“I want to tell you honey you are the hero in my heart”

Saman Gunan's wife and father tell @BBCWorld about the man… https://t.co/axL8XkMgc0",Mon Jul 09 19:02:06 +0000 2018,91
91,0.4767,0.0,0.78,BBC,0.22,"That time David Attenborough made friends with a baby rhino. 😭❤️️🦏 #Africa 

https://t.co/Z5F0jaNk57",Mon Jul 09 18:02:03 +0000 2018,92
92,0.9403,0.0,0.505,BBC,0.495,"Although they're great fun, they're not always great for the environment... 

Here's how to go to a festival withou… https://t.co/tvnMfnCrlL",Mon Jul 09 16:04:04 +0000 2018,93
93,0.0,0.0,1.0,BBC,0.0,"RT @BBCBreaking: Prince Louis arrives for his christening service at the Chapel Royal, St James's Palace

https://t.co/TGe9Ld5mpM https://t…",Mon Jul 09 15:51:05 +0000 2018,94
94,0.8268,0.0,0.675,BBC,0.325,"RT @BBCRadio2: Happy International Town Criers' Day! Watch @chestercrier teach @ed_miliband how to do the perfect ""oyez""  🗣 https://t.co/Ha…",Mon Jul 09 15:20:14 +0000 2018,95
95,0.8221,0.0,0.664,BBC,0.336,"""Can I drum?” 🥁🤷‍♂️

This is the amazing moment when @thekillers let a fan join them on stage at @TRNSMTfest! 🙌… https://t.co/6DnHpaJxer",Mon Jul 09 14:29:05 +0000 2018,96
96,-0.5423,0.22,0.78,BBC,0.0,"RT @BBCBreaking: Boris Johnson resigns as UK Foreign Secretary, following the resignation of Brexit Secretary David Davis https://t.co/gFKn…",Mon Jul 09 14:23:06 +0000 2018,97
97,0.4215,0.0,0.872,BBC,0.128,"Divers have rescued four more boys from the vast flooded cave system in northern Thailand.

Follow live updates her… https://t.co/cuWPaHhVTW",Mon Jul 09 14:17:04 +0000 2018,98
98,-0.4767,0.205,0.795,BBC,0.0,"Searching for the 'angel' who held me during the Westminster attack. 

https://t.co/Hgb96AhD1J https://t.co/SPXbsc6t1A",Mon Jul 09 13:03:05 +0000 2018,99
99,0.6597,0.115,0.531,BBC,0.354,"RT @bbctennis: The number of Grand Slam singles titles won by today's Centre Court players.

🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆…",Mon Jul 09 12:18:40 +0000 2018,100
100,0.1139,0.0,0.922,CBS,0.078,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",Fri Jul 13 21:35:01 +0000 2018,1
101,-0.4404,0.132,0.868,CBS,0.0,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…",Fri Jul 13 21:15:41 +0000 2018,2
102,0.0,0.0,1.0,CBS,0.0,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,Fri Jul 13 17:49:38 +0000 2018,3
103,0.6514,0.0,0.718,CBS,0.282,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,Thu Jul 12 01:01:24 +0000 2018,4
104,0.5562,0.0,0.826,CBS,0.174,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",Wed Jul 11 21:44:45 +0000 2018,5
105,0.5411,0.0,0.857,CBS,0.143,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…",Wed Jul 11 19:09:34 +0000 2018,6
106,0.0,0.0,1.0,CBS,0.0,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,Mon Jul 09 23:55:07 +0000 2018,7
107,-0.3818,0.106,0.894,CBS,0.0,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",Mon Jul 09 18:53:34 +0000 2018,8
